"4.63","5.43","7.86","3.64","16.09","13.82","6.05","10.15","9.0","3.79","0.04","9.62","15.13","9.19","5.63","9.04","0.65","-1.08","1.5","18.96","11.11","9.19","7.97","4.63","0.34","-0.65","5.18","15.51","8.81","9.58","9.08","-2.11","3.64","2.83","0.69","19.76","13.91","8.08","10.15","5.13"
"0.27","-1.31","-0.34","1.95","15.02","18.09","15.51","0.84","-0.65","4.63","4.52","16.04","6.55","9.92","12.15","5.75","6.93","9.92","8.16","6.05","8.66","8.24","7.63","6.82","7.82","9.0","4.67","4.67","4.67","4.82","8.73","7.44","2.79","1.5","12.15","5.83","8.05","9.38","11.3","5.33"
"2.98","13.14","15.83","4.52","14.75","13.25","1.8","1.38","14.52","17.47","9.0","12.64","6.78","4.79","1.54","3.95","14.71","3.06","2.37","14.52","-2.07","0.5","13.76","18.62","8.58","11.73","9.62","6.47","1.92","3.45","12.18","13.76","12.95","16.32","3.57","-2.07","11.26","19.15","9.23","8.69"
"8.01","1.65","0.11","5.05","8.62","1.84","13.02","6.74","7.25","19.76","15.02","3.83","9.11","6.24","3.21","7.86","19.57","9.85","4.63","3.38","6.78","11.84","17.86","4.37","9.43","13.14","6.17","7.25","9.66","12.18","11.75","10.8","8.92","12.41","7.5","4.9","3.99","3.53","18.09","13.59"
"1.88","4.56","13.59","9.92","8.54","8.39","5.94","6.21","5.28","8.73","6.59","7.63","17.35","14.75","5.79","6.09","2.26","-1.5","14.79","19.11","8.89","7.97","3.99","4.21","8.77","17.2","5.37","8.5","10.76","0.72","0.15","14.6","18.89","7.31","3.83","2.15","8.43","4.44","5.83","4.44"
"2.64","15.89","18.62","14.33","7.21","2.6","-0.46","1.65","16.7","2.56","3.99","3.6","2.72","16.51","5.09","5.09","5.09","5.09","5.09","1.04","9.92","17.58","4.21","7.44","9.34","1.8","-1.92","16.25","15.85","7.12","13.48","3.15","2.56","2.76","10.5","4.37","1.65","8.24","10.19","7.01"
"12.3","18.7","10.76","9.28","6.05","3.87","7.35","13.82","10.76","11.07","11.3","15.7","8.24","2.45","2.79","2.96","8.66","18.62","7.97","7.78","2.68","6.82","11.75","7.21","7.46","9.19","9.85","11.92","9.04","9.08","8.35","13.53","8.92","5.63","3.72","5.43","14.48","14.41","4.06","11.88"
"12.79","8.5","6.32","4.52","5.33","9.3","8.01","6.85","15.09","17.5","3.64","4.9","4.75","1.08","5.9","16.09","5.94","10.31","8.16","1.14","7.97","18.7","10.57","6.66","10.95","4.14","-4.59","13.06","19.38","10.57","8.73","5.13","1.33","1.88","15.36","3.34","0.65","3.83","3.83","16.28"
"14.37","4.86","9.53","10.12","2.49","3.02","18.09","8.43","1.8","11.07","5.94","0.34","1.31","19.65","13.59","9.81","10.92","9.89","4.86","6.85","4.86","2.64","14.25","18.28","5.86","7.93","3.99","3.45","4.86","0.69","14.71","19.27","-0.57","-0.57","-0.57","-0.57","-0.08","8.77","4.9","1.65"
"8.35","13.33","5.9","15.55","18.73","12.34","6.7","6.28","5.28","6.05","12.18","11.88","8.54","11.3","8.77","3.41","2.11","1.8","13.82","12.45","11.26","5.52","10.99","9.89","8.62","8.08","9.04","9.7","10.19","12.76","7.86","12.91","11.07","5.09","2.79","2.79","2.79","12.91","5.13","-0.23"
